variable,importancia
x9_t20,0.5216641134450473
x5_t03,0.2984895546864112
x3_t05,0.17984633186854163
x8_t15,0.0
x7_t14,0.0
x8_t13,0.0
x9_t13,0.0
x1_t14,0.0
x2_t14,0.0
x3_t14,0.0
x4_t14,0.0
x5_t14,0.0
x6_t14,0.0
x8_t14,0.0
x7_t15,0.0
x7_t13,0.0
x1_t15,0.0
x2_t15,0.0
x3_t15,0.0
x4_t15,0.0
x5_t15,0.0
x6_t15,0.0
x9_t14,0.0
x6_t13,0.0
x1_t16,0.0
x5_t13,0.0
x4_t11,0.0
x5_t11,0.0
x6_t11,0.0
x7_t11,0.0
x8_t11,0.0
x9_t11,0.0
x1_t12,0.0
x2_t12,0.0
x3_t12,0.0
x4_t12,0.0
x5_t12,0.0
x6_t12,0.0
x7_t12,0.0
x8_t12,0.0
x9_t12,0.0
x1_t13,0.0
x2_t13,0.0
x3_t13,0.0
x4_t13,0.0
x9_t15,0.0
x3_t16,0.0
x2_t16,0.0
x2_t11,0.0
x8_t18,0.0
x9_t18,0.0
x1_t19,0.0
x2_t19,0.0
x3_t19,0.0
x4_t19,0.0
x5_t19,0.0
x6_t19,0.0
x7_t19,0.0
x8_t19,0.0
x9_t19,0.0
x1_t20,0.0
x2_t20,0.0
x3_t20,0.0
x4_t20,0.0
x5_t20,0.0
x6_t20,0.0
x7_t20,0.0
x8_t20,0.0
x7_t18,0.0
x6_t18,0.0
x5_t18,0.0
x3_t17,0.0
x4_t16,0.0
x5_t16,0.0
x6_t16,0.0
x7_t16,0.0
x8_t16,0.0
x9_t16,0.0
x1_t17,0.0
x2_t17,0.0
x4_t17,0.0
x4_t18,0.0
x5_t17,0.0
x6_t17,0.0
x7_t17,0.0
x8_t17,0.0
x9_t17,0.0
x1_t18,0.0
x2_t18,0.0
x3_t18,0.0
x3_t11,0.0
x1_t01,0.0
x2_t01,0.0
x9_t10,0.0
x8_t03,0.0
x9_t03,0.0
x1_t04,0.0
x2_t04,0.0
x3_t04,0.0
x4_t04,0.0
x5_t04,0.0
x6_t04,0.0
x7_t04,0.0
x8_t04,0.0
x9_t04,0.0
x1_t05,0.0
x2_t05,0.0
x4_t05,0.0
x5_t05,0.0
x6_t05,0.0
x7_t05,0.0
x8_t05,0.0
x9_t05,0.0
x7_t03,0.0
x6_t03,0.0
x4_t03,0.0
x2_t02,0.0
x3_t01,0.0
x4_t01,0.0
x5_t01,0.0
x6_t01,0.0
x7_t01,0.0
x8_t01,0.0
x9_t01,0.0
x1_t02,0.0
x3_t02,0.0
x3_t03,0.0
x4_t02,0.0
x5_t02,0.0
x6_t02,0.0
x7_t02,0.0
x8_t02,0.0
x9_t02,0.0
x1_t03,0.0
x2_t03,0.0
x1_t06,0.0
x2_t06,0.0
x3_t06,0.0
x8_t09,0.0
x9_t08,0.0
x1_t09,0.0
x2_t09,0.0
x3_t09,0.0
x4_t09,0.0
x5_t09,0.0
x6_t09,0.0
x7_t09,0.0
x9_t09,0.0
x7_t08,0.0
x1_t10,0.0
x2_t10,0.0
x3_t10,0.0
x4_t10,0.0
x5_t10,0.0
x6_t10,0.0
x7_t10,0.0
x8_t10,0.0
x8_t08,0.0
x6_t08,0.0
x4_t06,0.0
x4_t07,0.0
x5_t06,0.0
x6_t06,0.0
x7_t06,0.0
x8_t06,0.0
x9_t06,0.0
x1_t07,0.0
x2_t07,0.0
x3_t07,0.0
x5_t07,0.0
x5_t08,0.0
x6_t07,0.0
x7_t07,0.0
x8_t07,0.0
x9_t07,0.0
x1_t08,0.0
x2_t08,0.0
x3_t08,0.0
x4_t08,0.0
x1_t11,0.0
